gene	DAY0_rep1	DAY0_rep2	DAY0_rep3	DAY4_rep1	DAY4_rep2	DAY4_rep3	DAY7_rep1	DAY7_rep2	DAY7_rep3	EARLY_DAY10_rep1	EARLY_DAY10_rep2	EARLY_DAY10_rep3	LATE_DAY10_rep1	LATE_DAY10_rep2	LATE_DAY10_rep3	DAY14_rep1	DAY14_rep2	DAY14_rep3	DAY21_rep1	DAY21_rep2	DAY21_rep3
Blnk	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	773	1024	0	0	706	0
Dntt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opalin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tll2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm9sf3	15454	14103	13818	15064	14868	14665	13252	12321	14145	13067	15869	13888	5136	6038	5837	6109	6777	5881	7121	5840	7434
Pik3ap1	0	0	0	0	0	3	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Lcor	299	295	261	264	269	286	187	225	235	269	318	254	98	93	143	176	162	116	168	89	135
Mir8091	2	6	6	2	5	3	5	5	2	3	4	3	0	0	3	1	0	0	0	0	3
AI606181	162	130	171	121	109	100	113	102	118	98	142	112	43	65	34	76	69	61	51	37	59
Slit1	13	22	16	53	18	39	10	5	8	20	12	21	20	3	1	2	4	2	3	2	3
Arhgap19	390	371	370	107	96	97	160	157	181	399	463	385	179	155	156	332	276	208	289	290	310
Frat1	0	3	3	15	22	8	9	8	15	7	10	8	1	7	3	4	2	7	6	1	7
Frat2	42	40	29	90	83	78	73	65	70	34	45	50	14	22	16	14	24	11	20	14	16
Rrp12	1141	973	959	715	730	762	558	488	564	659	811	746	255	370	260	466	315	319	484	351	527
Pgam1	16588	14387	14571	14753	15416	13644	22849	20002	24797	14610	16699	15916	8377	4595	5705	18484	10812	9142	9107	5825	5984
Exosc1	1237	1157	1101	733	820	756	772	674	742	756	897	789	314	313	340	344	434	318	404	329	436
Zdhhc16	1726	1473	1595	1069	1166	1115	1240	1022	1259	1156	1367	1135	347	663	465	459	644	488	438	387	464
Mms19	2466	2362	2128	1411	1454	1416	1380	1270	1547	1307	1500	1224	490	513	598	877	625	681	746	685	741
Ubtd1	1601	1400	1474	1133	1018	993	995	858	1105	861	1016	916	342	381	386	411	513	339	390	348	462
Ankrd2	3	0	1	1	1	1	0	0	3	3	0	0	1	0	1	0	0	0	0	0	0
Hoga1	0	0	0	0	1	16	1	1	9	9	16	9	2	2	10	2	0	2	5	0	7
Morn4	233	220	174	0	1	1	0	1	63	0	0	0	1	0	1	1	1	0	1	0	0
Pi4k2a	2108	1824	1913	1610	1690	1675	1667	1462	1776	1572	1890	1683	561	777	715	720	800	687	763	737	878
Avpi1	1037	913	941	1293	1237	1196	1211	1072	1223	969	1180	1030	408	393	459	537	661	438	453	470	532
Marveld1	5770	5189	5417	7772	7418	6991	8204	7387	8742	5754	6467	5984	2161	2517	2569	2627	2426	2593	2911	2192	2514
Zfyve27	1310	1266	1176	1295	1431	1319	1191	1063	1240	975	1125	943	417	324	465	592	527	404	456	415	515
Sfrp5	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Golga7b	0	0	0	46	48	37	136	129	109	88	78	76	38	35	23	96	76	104	104	96	96
Mir3085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crtac1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
R3hcc1l	1273	1043	1197	1123	1122	1063	1064	996	1296	997	1176	1076	335	398	567	431	474	343	478	298	456
Loxl4	2266	2161	2092	7541	6838	6048	15885	15562	19739	8689	10112	9133	3959	3580	3515	11901	6061	6839	9781	8506	9809
Pyroxd2	997	964	916	1348	1381	1268	1797	1726	1984	1091	1186	987	398	434	466	605	567	635	525	457	512
Hps1	1831	1552	1541	1574	1767	1423	1805	1631	1731	1372	1358	1219	507	575	492	809	696	502	671	597	709
Hpse2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Got1	2819	2573	2662	1961	2234	2130	1534	1294	1594	1336	1526	1435	453	628	640	803	818	429	650	651	680
Nkx2-3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Slc25a28	890	778	734	751	793	775	691	582	758	693	833	735	243	361	299	374	370	328	357	363	365
Entpd7	747	617	609	1121	1086	968	977	848	931	654	811	706	204	357	311	246	335	328	374	266	393
Cox15	1629	1660	1417	1137	1165	1006	1192	1217	1212	1143	1341	1331	437	579	506	678	762	529	1034	533	990
Cutc	159	146	165	178	184	172	167	151	171	171	168	145	55	59	79	79	83	77	104	83	71
Abcc2	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	771	0	0	0	4005
Dnmbp	1944	1613	1716	1057	1055	1007	1192	1068	1263	1115	1188	1090	383	530	443	514	486	469	543	529	612
n-R5s21	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Cpn1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c23	65	59	45	38	60	69	21	23	20	12	13	23	5	7	8	7	11	2	5	6	4
Erlin1	1808	1633	1540	801	889	947	789	687	834	1066	1258	1120	359	566	453	715	682	501	486	690	705
Chuk	2804	2275	2501	1998	2209	2120	1608	1554	1822	1773	1931	1578	643	584	876	1219	900	803	816	771	948
Cwf19l1	746	702	673	438	433	432	477	437	490	470	600	501	160	248	219	244	249	184	243	210	324
Bloc1s2	1089	925	965	758	723	765	586	542	649	493	630	567	236	232	201	348	316	219	239	247	251
Pkd2l1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Scd3	4	1	4	3	3	1	2	0	2	1	2	4	0	0	3	0	0	0	0	0	4
Scd2	57663	51778	54316	60822	60607	56643	46351	42640	48722	42619	48258	44792	16876	18639	18408	35655	20111	21793	28711	18081	24105
Mir5114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scd4	64	48	54	66	58	60	76	84	95	82	93	67	17	34	46	58	44	70	63	16	65
Scd1	5887	4946	5386	6900	6915	6570	6201	5726	6754	6133	7121	6432	2375	2678	2771	5185	2945	3676	5686	3521	4573
Wnt8b	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Sec31b	188	192	155	91	94	106	132	106	110	144	162	126	60	64	47	89	81	50	58	44	58
Ndufb8	3208	2846	2938	2366	2395	2374	2173	1900	2280	2172	2570	2237	1020	922	818	1127	1241	1234	1108	999	1133
Hif1an	2271	2118	2049	2174	2128	2082	2052	2003	2383	2082	2332	2158	813	911	889	1088	1030	858	1070	991	1226
Pax2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Mir6405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slf2	1991	1811	1719	1364	1362	1194	1191	1182	1409	1626	1921	1688	543	770	779	704	800	675	749	647	814
Sema4g	26	25	24	10	9	7	7	9	12	10	10	10	1	1	6	20	14	26	14	1	23
Mrpl43	1600	1420	1434	1179	1272	1125	1338	1262	1383	1130	1282	1155	447	481	488	490	607	403	496	604	566
Twnk	1369	1383	1256	1085	1083	1082	992	877	991	888	976	928	380	364	363	451	453	346	421	299	491
Lzts2	4941	4298	4388	3991	3874	3792	4233	3721	4460	3646	4092	3796	1366	1617	1611	1702	1822	1570	1700	1569	1905
Pdzd7	87	108	108	75	81	76	121	128	144	135	106	109	20	36	91	44	52	25	37	42	39
Sfxn3	5164	4612	4445	4529	4660	4327	4314	3952	4540	3813	4220	3802	1329	1774	1622	1454	1559	1233	1608	1303	1516
Kazald1	3485	3200	3090	6242	5713	4993	8936	8080	9966	4264	5017	4542	2249	1603	1606	4223	3568	3942	4164	3730	3983
Tlx1	2	5	8	30	34	27	44	38	40	39	55	45	18	12	26	24	22	32	23	24	39
